               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10229,            0.032275,            0.034952,             0.77276,             0.21389,             0.10593,            0.032745,            0.073561,            0.023524,            0.024873,              0.0811,              0.0021,              0.0021
                   1,            0.067904,            0.029197,            0.021807,             0.66559,             0.23921,             0.11301,            0.053054,            0.066299,            0.017192,            0.016909,            0.061257,           0.0042574,           0.0042574
                   2,            0.064416,            0.022649,            0.016419,             0.77303,             0.32222,             0.29054,              0.1073,            0.077482,            0.013556,            0.011663,            0.041371,           0.0063713,           0.0063713
                   3,            0.064635,            0.019705,            0.013683,              0.6677,             0.46595,             0.55367,              0.2155,            0.058003,            0.012086,           0.0082446,            0.021442,           0.0084416,           0.0084416
                   4,            0.062352,            0.016558,            0.010319,             0.57396,             0.62038,             0.62691,             0.24745,            0.059475,            0.010603,           0.0047954,            0.009604,            0.009604,            0.009604
                   5,            0.054013,            0.014985,           0.0073534,             0.36012,              0.7027,             0.56497,             0.25608,            0.060033,            0.010521,           0.0033514,            0.009604,            0.009604,            0.009604
                   6,            0.047623,            0.013679,           0.0063417,             0.60136,             0.78045,              0.7402,             0.38203,            0.048224,            0.008328,           0.0029374,            0.009505,            0.009505,            0.009505
                   7,            0.043493,            0.012243,           0.0057737,             0.74289,             0.73818,             0.80298,             0.39353,            0.039379,           0.0078751,           0.0024895,            0.009406,            0.009406,            0.009406
                   8,            0.041171,            0.011481,           0.0046168,             0.80277,             0.77088,               0.872,             0.50633,            0.037409,           0.0071691,           0.0026109,            0.009307,            0.009307,            0.009307
                   9,            0.038054,            0.011394,           0.0044509,             0.88937,             0.90096,             0.91688,             0.51222,            0.037585,           0.0066364,           0.0026853,            0.009208,            0.009208,            0.009208
                  10,            0.036057,            0.010302,           0.0038593,             0.92044,             0.83077,             0.88427,             0.54143,            0.033361,           0.0062208,           0.0023934,            0.009109,            0.009109,            0.009109
                  11,            0.034508,            0.010458,           0.0035252,             0.75097,             0.88095,             0.88252,             0.51468,            0.030561,           0.0059643,           0.0023161,             0.00901,             0.00901,             0.00901
                  12,             0.03475,            0.010863,           0.0032845,             0.94822,             0.86647,             0.92767,             0.55013,            0.029031,           0.0058737,           0.0023802,            0.008911,            0.008911,            0.008911
                  13,            0.032226,           0.0098308,           0.0030288,             0.86364,             0.85643,             0.89643,             0.54261,            0.029166,           0.0059037,           0.0021758,            0.008812,            0.008812,            0.008812
                  14,            0.031048,           0.0091364,            0.002794,             0.94728,             0.87249,             0.96058,             0.61265,            0.028453,           0.0054597,           0.0021413,            0.008713,            0.008713,            0.008713
